"1000075";"Andalusia svÏtle öed· dlaûdice 29,8x29,8x0,8";"DAR35110";" ";"1L/8";"  1";" 20";69,00;0,000;"m2";1,000;"";18200,0;""
"1000075";"Andalusia svÏtle öed· dlaûdice 29,8x29,8x0,8";"DAR35110";"1";"7G/9";"  1";" 20";69,00;0,000;"m2";1,000;"";18200,0;""
"1000076";"Andalusia svÏtle öed· dlaûdice 29,8x29,8x0,8";"DAR35110.2";" ";"";"  1";" 20";69,00;0,000;"m2";1,180;"2";18200,0;""
"1000077";"Andalusia slonov· kost dlaûdice 29,8x29,8x0,8";"DAR35111";" ";"1F/9";"  1";" 20";69,00;0,000;"m2";1,180;"";18200,0;""
"1000078";"Andalusia slonov· kost dlaûdice 29,8x29,8x0,8";"DAR35111.2";" ";"";"  1";" 20";69,00;0,000;"m2";1,000;"2";18200,0;""
"1000079";"Andalusia Ëern· dlaûdice 29,8x29,8x0,8";"DAR35114";" ";"53/8";"  1";" 20";69,00;0,000;"m2";1,000;"";18200,0;""
"1000080";"Andalusia Ëern· dlaûdice 29,8x29,8x0,8";"DAR35114.2";" ";"";"  1";" 20";69,00;0,000;"m2";1,180;"2";18200,0;""
"1000081";"Andalusia cihlov· dlaûdice 29,8x29,8x0,8";"DAR35115";" ";"1L/9";"  1";" 20";69,00;0,000;"m2";1,180;"";18200,0;""
"1000081";"Andalusia cihlov· dlaûdice 29,8x29,8x0,8";"DAR35115";"1";"4P/9";"  1";" 20";69,00;0,000;"m2";1,000;"";18200,0;""
"1000082";"Andalusia cihlov· dlaûdice 29,8x29,8x0,8";"DAR35115.2";" ";"";"  1";" 20";69,00;0,000;"m2";1,180;"2";18200,0;""
"1000083";"Andalusia bÈûov· dlaûdice 29,8x29,8x0,8";"DAR35117";" ";"7I/9";"  1";" 20";69,00;0,000;"m2";1,000;"";19200,0;""
"1000084";"Andalusia bÈûov· dlaûdice 29,8x29,8x0,8";"DAR35117.2";" ";"";"  1";" 20";69,00;0,000;"m2";1,180;"2";19200,0;""
"1000085";"Andalusia svÏtle öed· balk. tvarovka 29,8x15x0,8";"DCFJH110";" ";"30x15";"  1";" 21";279,00;0,000;"ks";1,180;"";1208,0;""
"1000086";"Andalusia slon. kost balk. tvarovka 29,8x15x0,8";"DCFJH111";" ";"30x15";"  1";" 21";279,00;0,000;"ks";1,180;"";1208,0;""
