"0402";"42856";"3100000";"1";1.000;726.00;224.58;0.00;1. 11. 2023;21
"0501";"13588";"7101008";" ";2.000;507.00;208.50;253.50;1. 11. 2023;21
"0501";"13588";"7219504";" ";1.000;334.00;137.82;83.50;1. 11. 2023;21
"0506";"13589";"5300022";" ";4.200;915.00;227.60;0.00;1. 11. 2023;21
"0504";"13590";"     49";" ";1.000;290.00;0.00;0.00;1. 11. 2023;21
"0504";"13590";"     70";" ";1.000;-290.00;0.00;0.00;1. 11. 2023;21
"0501";"13591";"7216504";" ";4.000;270.00;111.23;270.00;2. 11. 2023;21
"0504";"13592";"7776525";" ";2.000;356.00;190.49;0.00;2. 11. 2023;21
"0502";"13593";"1002755";"<";31.610;431.00;198.90;5449.60;2. 11. 2023;21
"0402";"42682";"3100000";"1";5.000;726.00;224.58;0.00;2. 11. 2023;21
"0502";"13594";"3100000";"5";1.000;726.00;600.00;0.00;2. 11. 2023;21
"0502";"13595";"7772625";" ";10.000;335.00;194.81;328.30;2. 11. 2023;21
"0502";"13595";"7211104";" ";5.000;270.00;111.25;405.00;2. 11. 2023;21
"0506";"13596";"7213504";" ";1.000;204.00;84.09;0.00;2. 11. 2023;21
"0506";"13596";"7202600";" ";3.000;269.00;115.42;0.00;2. 11. 2023;21
"0502";"13598";"6003713";"2";56.000;499.00;201.02;0.00;2. 11. 2023;21
"0502";"13598";"3100000";"2";1.000;726.00;130.98;0.00;2. 11. 2023;21
"0502";"13598";"     51";" ";1.000;590.00;0.00;0.00;2. 11. 2023;21
"0502";"13598";"     71";" ";1.000;-590.00;0.00;0.00;2. 11. 2023;21
"0504";"13599";"7201000";" ";2.000;269.00;115.16;0.00;2. 11. 2023;21
"0504";"13600";"7211102";" ";1.000;167.00;56.42;0.00;2. 11. 2023;21
"0402";"43598";"3100000";"2";1.000;726.00;130.98;0.00;3. 11. 2023;21
"0202";"90255";"5100923";" ";1.000;10290.00;5272.56;0.00;3. 11. 2023;21
"0202";"90255";"5100938";" ";1.000;8190.00;4196.53;0.00;3. 11. 2023;21
"0502";"13601";"5100923";" ";1.000;10290.00;5272.56;3087.00;3. 11. 2023;21
"0502";"13601";"5100938";" ";1.000;8190.00;4196.53;2457.00;3. 11. 2023;21
"0501";"13602";"7204200";" ";1.000;269.00;115.30;67.30;3. 11. 2023;21
"0504";"13603";"7201400";" ";1.000;314.00;134.87;78.50;3. 11. 2023;21
"0221";" 1434";"5301605";" ";5.760;995.00;241.13;0.00;3. 11. 2023;21
"0221";" 1434";"4002408";" ";2.500;699.00;245.74;0.00;3. 11. 2023;21
"0221";" 1434";"2004467";" ";4.000;299.00;180.00;0.00;3. 11. 2023;21
"0221";" 1434";"1002234";" ";1.500;557.00;279.92;0.00;3. 11. 2023;21
"0221";" 1434";"5302005";" ";6.050;890.00;249.16;0.00;3. 11. 2023;21
"0221";" 1434";"1007733";" ";4.320;1026.00;415.38;0.00;3. 11. 2023;21
"0221";" 1434";"1007735";" ";5.400;1026.00;433.35;0.00;3. 11. 2023;21
"0221";" 1434";"2004467";" ";1.000;299.00;180.00;0.00;3. 11. 2023;21
"0221";" 1434";"5301994";"1";40.000;699.00;188.72;0.00;3. 11. 2023;21
"0221";" 1434";"3154348";" ";57.600;299.00;143.01;0.00;3. 11. 2023;21
"0221";" 1434";"5301994";"1";40.000;699.00;195.80;0.00;3. 11. 2023;21
"0221";" 1434";"4002689";" ";51.200;399.00;179.00;0.00;3. 11. 2023;21
"0221";" 1434";"5302082";" ";40.000;399.00;182.85;0.00;3. 11. 2023;21
"0221";" 1434";"2004468";" ";48.000;299.00;180.00;0.00;3. 11. 2023;21
"0221";" 1434";"2004466";" ";48.000;299.00;180.00;0.00;3. 11. 2023;21
"0221";" 1434";"2004467";" ";4.000;299.00;180.00;0.00;3. 11. 2023;21
"0221";" 1434";"2004467";" ";44.000;299.00;180.00;0.00;3. 11. 2023;21
"0221";" 1434";"2004468";" ";48.000;299.00;180.00;0.00;3. 11. 2023;21
"0221";" 1434";"2004466";" ";48.000;299.00;180.00;0.00;3. 11. 2023;21
"0221";" 1434";"6002675";"1";72.900;399.00;176.26;0.00;3. 11. 2023;21
"0221";" 1434";"5800024";" ";42.000;254.00;152.60;0.00;3. 11. 2023;21
"0502";"13601";"5301605";" ";5.760;995.00;241.13;859.70;3. 11. 2023;21
"0501";"13604";"1002234";" ";1.500;557.00;279.92;309.14;7. 11. 2023;21
"0502";"13605";"5302005";" ";6.050;890.00;249.16;807.68;3. 11. 2023;21
"0502";"13606";"1007733";" ";4.320;1026.00;415.38;664.80;3. 11. 2023;21
"0502";"13606";"1007735";" ";5.400;1026.00;433.35;831.10;3. 11. 2023;21
"0502";"13606";"3086010";"2";3.600;499.00;180.84;0.00;3. 11. 2023;21
"0506";"13607";"     22";" ";1.000;1500.00;0.00;0.00;3. 11. 2023;21
"0502";"13608";"4002408";" ";2.500;699.00;245.74;262.10;3. 11. 2023;21
"0506";"13609";"4002689";" ";3.200;399.00;179.00;0.00;3. 11. 2023;21
