"0504";"13935";"1010203";" ";1.180;395.00;134.58;0.00;1. 12. 2023;21
"0504";"13935";"7213502";" ";1.000;126.00;48.58;0.00;1. 12. 2023;21
"0504";"13935";"7202100";" ";1.000;269.00;115.08;0.00;1. 12. 2023;21
"0504";"13935";"7202600";" ";1.000;269.00;115.42;0.00;1. 12. 2023;21
"0504";"13936";"1010203";"1";1.180;395.00;157.50;0.00;1. 12. 2023;21
"0506";"13937";"4002688";" ";1.600;399.00;179.00;0.00;1. 12. 2023;21
"0502";"13938";"1008056";" ";1.210;149.00;154.00;0.00;1. 12. 2023;21
"0502";"13938";"1008930";" ";4.800;149.00;75.30;0.00;1. 12. 2023;21
"0502";"13938";"5000187";"4";5.400;835.00;228.84;901.80;1. 12. 2023;21
"0501";"13939";"7201000";" ";4.000;269.00;115.16;269.00;1. 12. 2023;21
"0501";"13939";"7217404";" ";2.000;270.00;111.25;135.00;1. 12. 2023;21
"0501";"13939";"7217402";" ";1.000;167.00;56.32;41.80;1. 12. 2023;21
"0506";"13940";"1010204";"1";10.620;395.00;157.50;0.00;1. 12. 2023;21
"0506";"13940";"7218904";" ";1.000;270.00;111.25;0.00;1. 12. 2023;21
"0506";"13941";"5302084";" ";16.000;399.00;169.86;0.00;1. 12. 2023;21
"0506";"13941";"6002674";" ";24.300;399.00;172.85;1454.40;1. 12. 2023;21
"0504";"13942";"6003727";"2";7.840;499.00;202.31;0.00;2. 12. 2023;21
"0504";"13942";"7217402";" ";1.000;167.00;56.32;0.00;2. 12. 2023;21
"0504";"13942";"7201000";" ";1.000;269.00;115.16;0.00;2. 12. 2023;21
"0506";"13943";"7218002";" ";1.000;167.00;56.31;0.00;2. 12. 2023;21
"0502";"13944";"7213504";" ";2.000;204.00;84.09;102.00;2. 12. 2023;21
"0502";"13945";"7217102";" ";2.000;167.00;56.31;83.50;2. 12. 2023;21
"0502";"13945";"7218604";" ";1.000;270.00;111.24;67.50;2. 12. 2023;21
"0502";"13945";"7218304";" ";1.000;270.00;110.53;67.50;2. 12. 2023;21
"0502";"13945";"7909989";" ";1.000;314.00;134.87;78.50;2. 12. 2023;21
"0502";"13945";"7200600";" ";1.000;314.00;134.80;78.50;2. 12. 2023;21
"0502";"13945";"7205200";" ";1.000;314.00;124.17;78.50;2. 12. 2023;21
"0502";"13946";"5700037";" ";1.000;81.00;49.69;0.00;2. 12. 2023;21
"0502";"13946";"5700039";" ";1.000;131.00;81.00;0.00;2. 12. 2023;21
"0502";"13946";"5700042";" ";1.000;223.00;137.46;0.00;2. 12. 2023;21
"0501";"13947";"2004467";" ";11.000;299.00;180.00;0.00;2. 12. 2023;21
"0501";"13947";"7772625";" ";2.000;335.00;194.81;65.70;2. 12. 2023;21
"0506";"13948";"7200600";" ";2.000;314.00;134.80;0.00;2. 12. 2023;21
"0506";"13948";"6000263";" ";4.000;457.00;238.33;0.00;2. 12. 2023;21
"0506";"13949";"5301446";"2";5.000;605.00;136.30;0.00;2. 12. 2023;21
"0502";"13950";"5302044";" ";1.080;729.00;183.60;118.10;4. 12. 2023;21
"0502";"13950";"7202600";" ";2.000;269.00;115.42;134.50;4. 12. 2023;21
"0506";"13951";"6000153";" ";1.000;122.00;54.86;0.00;4. 12. 2023;21
"0502";"13952";"7202100";" ";1.000;269.00;115.08;80.70;4. 12. 2023;21
"0502";"13953";"4990773";" ";1.000;10150.00;4361.98;3045.00;4. 12. 2023;21
"0502";"13953";"     24";" ";1.000;-1500.00;0.00;0.00;4. 12. 2023;21
"0501";"13954";"7213504";" ";3.000;204.00;84.09;153.00;4. 12. 2023;21
"0501";"13954";"7202600";" ";2.000;269.00;115.42;134.50;4. 12. 2023;21
"0502";"13955";"6002675";"1";2.700;399.00;173.72;161.60;4. 12. 2023;21
"0504";"13956";"7772625";" ";2.000;335.00;194.81;0.00;4. 12. 2023;21
"0504";"13956";"7210104";" ";1.000;216.00;88.23;0.00;4. 12. 2023;21
"0501";"13957";"1303848";" ";1.000;359.00;202.00;71.80;4. 12. 2023;21
"0301";"   43";"5200048";" ";0.000;-512.00;10250.00;0.00;4. 12. 2023;21
"0301";"   43";"5200049";" ";0.000;-472.00;9457.00;0.00;4. 12. 2023;21
"0301";"   43";"5200050";" ";0.000;-512.00;10250.00;0.00;4. 12. 2023;21
"0301";"   43";"5200051";" ";0.000;-493.00;9852.00;0.00;4. 12. 2023;21
"0301";"   43";"5200052";" ";0.000;-565.00;11318.00;0.00;4. 12. 2023;21
"0301";"   43";"5200053";" ";0.000;-551.00;11053.00;0.00;4. 12. 2023;21
"0301";"   43";"5200054";" ";0.000;-565.00;11318.00;0.00;4. 12. 2023;21
"0301";"   43";"5200055";" ";0.000;-578.00;11581.00;0.00;4. 12. 2023;21
"0301";"   43";"5200056";" ";0.000;-511.00;10221.00;0.00;4. 12. 2023;21
"0301";"   43";"5200083";" ";0.000;-753.00;7544.00;0.00;4. 12. 2023;21
"0301";"   43";"5200085";" ";0.000;-791.00;7903.00;0.00;4. 12. 2023;21
