"";"1001237";"Alicante";"Alicante D15 hnìdá dladice 20x20x0,75";"  1";" 20";"3";"";1,000;"";69,00;"m2";30,00000;15500,0;T
"";"1001238";"Alicante";"Alicante hnìdá 20x20 2j";"  1";" 20";" ";"";1,000;"2";69,00;"m2";30,00000;15500,0;F
"";"1003298";"Vıprodej";"113023 20x20";"  1";" 20";" ";"";1,000;"";99,00;"m2";0,00000;12200,0;T
"";"1003299";"Vıprodej";"11T046 20x20";"  1";" 20";" ";"";1,000;"";99,00;"m2";0,00000;12200,0;T
"";"1003304";"Vıprodej";"1F3002 20x20";"  1";" 20";" ";"";1,000;"";69,00;"m2";0,00000;12200,0;T
"";"1003311";"Vıprodej";"214140 10x10";"  1";" 20";" ";"";1,050;"";69,00;"m2";269,60000;12200,0;T
"";"1003314";"Vıprodej";"214786 10x10";"  1";" 21";" ";"";0,000;"";18,00;"set";0,00000;100,0;T
"";"1003316";"Vıprodej";"214874 10x10";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;100,0;T
"";"1003318";"Vıprodej";"214884 10x10";"  1";" 21";" ";"";0,000;"";54,00;"set";0,00000;100,0;T
"";"1003319";"Vıprodej";"214932 10x10";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;100,0;T
"";"1003320";"Vıprodej";"214983 10x10";"  1";" 21";" ";"";0,000;"";18,00;"set";0,00000;100,0;T
"";"1003321";"Vıprodej";"214985 10x10";"  1";" 21";" ";"";0,000;"";18,00;"set";0,00000;100,0;T
"";"1003323";"Vıprodej";"215884 10x10";"  1";" 21";" ";"";0,000;"";54,00;"set";0,00000;100,0;T
"";"1003324";"Vıprodej";"215933 10x10";"  1";" 21";" ";"";0,000;"";18,00;"set";0,00000;100,0;T
"";"1003325";"Vıprodej";"215984 10x10";"  1";" 21";" ";"";0,000;"";54,00;"set";0,00000;100,0;T
"";"1003326";"Vıprodej";"215985 10x10";"  1";" 21";" ";"";0,000;"";18,00;"ks";0,00000;100,0;T
"";"1003347";"Vıprodej";"2CC050 30x30";"  1";" 21";" ";"";0,000;"";18,00;"ks";166,00000;1150,0;F
"";"1003356";"Vıprodej";"2NK002 10x10";"  1";" 21";" ";"";0,000;"";18,00;"set";0,00000;100,0;T
"";"1003357";"Vıprodej";"2NK003 10x10";"  1";" 21";" ";"";0,000;"";18,00;"set";0,00000;100,0;T
"";"1003360";"Vıprodej";"325023 30x20";"  1";" 20";" ";"";1,500;"";69,00;"m2";0,00000;15000,0;T
"";"1003363";"Vıprodej";"38H011 40x40";"  1";" 20";" ";"";1,600;"";69,00;"m2";0,00000;18000,0;T
"";"1003364";"Vıprodej";"Titus cotto osmihran 2j 40x40";"  1";" 20";" ";"";1,600;"2";69,00;"m2";0,00000;18000,0;F
"";"1003365";"Vıprodej";"38H013 40x40";"  1";" 20";" ";"";1,600;"";69,00;"m2";0,00000;18000,0;T
"";"1003366";"Vıprodej";"3C1114 2j 15x15";"  1";" 20";" ";"";1,000;"2";69,00;"m2";0,00000;12500,0;F
"";"1003367";"Vıprodej";"3C1114 15x15";"  1";" 20";" ";"";1,000;"";69,00;"m2";0,00000;12500,0;T
"";"1003368";"Vıprodej";"ORFEUS lutá 15x15";"  1";" 20";" ";"";1,000;"";69,00;"m2";0,00000;12500,0;T
"";"1003369";"Vıprodej";"3C1117 15x15";"  1";" 20";" ";"";1,000;"";69,00;"m2";0,00000;12500,0;T
"";"1003370";"Vıprodej";"ORFEUS zelená 15x15";"  1";" 20";" ";"";1,000;"";69,00;"m2";0,00000;12500,0;T
"";"1003371";"Vıprodej";"3C8006 25x25";"  1";" 20";" ";"";1,000;"";69,00;"m2";0,00000;15500,0;T
"";"1003372";"Vıprodej";"3C8020 25x25";"  1";" 20";" ";"";1,000;"";69,00;"m2";230,35000;15500,0;T
"";"1003374";"Vıprodej";"3C8025 25x25";"  1";" 20";" ";"";1,000;"";69,00;"m2";0,00000;15500,0;T
"";"1003376";"Vıprodej";"3C8051 25x25";"  1";" 20";" ";"";1,000;"";69,00;"m2";166,00000;15500,0;T
"";"1003383";"Vıprodej";"3CD044 33x33";"  1";" 20";" ";"";1,330;"";69,00;"m2";0,00000;18000,0;T
"";"1003385";"Vıprodej";"3CD065 33x33";"  1";" 20";" ";"";1,330;"";69,00;"m2";0,00000;18000,0;T
"";"1003386";"Vıprodej";"3F8002 25x25";"  1";" 20";" ";"";1,000;"";69,00;"m2";240,90000;15500,0;T
"";"1003389";"Vıprodej";"3CH003 2j 40x40";"  1";" 20";" ";"";1,600;"2";69,00;"m2";0,00000;18000,0;F
"";"1003397";"Vıprodej";"3LB001 30x8,1";"  1";" 20";" ";"";0,000;"";69,00;"m2";166,00000;18500,0;T
"";"1003401";"Vıprodej";"3N1001 15x15";"  1";" 21";" ";"";0,000;"";36,00;"set";91,08000;100,0;T
"";"1003403";"Vıprodej";"3NK001 10x10";"  1";" 21";" ";"";0,000;"";18,00;"set";0,00000;100,0;T
