;1;90011-2023;14,3;2023-01-09;2;16
;1;90016-2023;0,3;2023-01-09;2;0
;1;31378-2023;6,7;2023-01-09;2;9
;1;10017-2023;0,4;2023-01-09;2;0
;1;31380-2023;6;2023-01-09;2;8
;1;30798-2023;0,7;2023-01-09;2;1
;1;31379-2023;3;2023-01-09;2;9
;1;10018-2023;0,3;2023-01-09;2;0
;1;10067-2023;0,1;2023-01-10;1;0
;1;90027-2023;8,7;2023-01-10;1;9
;1;90041-2023;1,7;2023-01-10;1;2
;1;90025-2023;3,4;2023-01-10;1;4
;1;10253-2023;0,6;2023-01-10;1;1
;1;10187-2023;1,1;2023-01-10;1;1
;1;10270-2023;0,8;2023-01-11;1;1
;1;10145-2023;1,6;2023-01-11;1;2
;1;10220-2023;0,4;2023-01-11;1;1
;1;10296-2023;1,2;2023-01-11;1;1
;1;10179-2023;1;2023-01-11;1;1
;1;10177-2023;0,5;2023-01-11;1;1
;1;10163-2023;0,5;2023-01-11;1;1
;1;90026-2023;4,7;2023-01-11;1;5
;1;10277-2023;0,8;2023-01-11;1;1
;1;90031-2023;0,9;2023-01-11;1;1
;1;90042-2023;3,7;2023-01-11;1;4
;1;90030-2023;6,9;2023-01-12;1;7
;1;10338-2023;1,9;2023-01-12;1;2
;1;10230-2023;1,7;2023-01-12;1;2
;1;10268-2023;0,9;2023-01-12;1;0
;1;10335-2023;0,3;2023-01-12;1;2
;1;10336-2023;0,4;2023-01-12;1;1
;1;10166-2023;1,1;2023-01-12;1;2
;1;10170-2023;0,9;2023-01-12;1;1
;1;10225-2023;0,5;2023-01-12;1;0
;1;10211-2023;1;2023-01-12;1;2
;1;10124-2023;0,8;2023-01-12;1;2
;1;10266-2023;1,3;2023-01-12;1;1
;1;10233-2023;1;2023-01-12;1;1
;1;10032-2023;0,2;2023-01-12;1;1
;1;10223-2023;0,1;2023-01-12;1;0
;1;10132-2023;0,1;2023-01-12;1;0
;1;90028-2023;4,9;2023-01-12;1;6
;1;10111-2023;0,1;2023-01-12;1;0
;1;10349-2023;0,1;2023-01-12;1;0
;1;10370-2023;1,2;2023-01-17;1;2
;1;10400-2023;4,6;2023-01-17;1;5
;1;10456-2023;5,1;2023-01-17;1;7
;1;10447-2023;0,2;2023-01-17;1;1
;1;90060-2023;3,3;2023-01-17;1;3
;1;90064-2023;0,9;2023-01-17;1;1
;1;10346-2023;2,5;2023-01-17;1;3
;1;10425-2023;0,5;2023-01-18;1;1
;1;10542-2023;0,5;2023-01-18;1;1
;1;90075-2023;0,5;2023-01-18;1;1
;1;10519-2023;1,1;2023-01-18;1;2
;1;10520-2023;0,2;2023-01-18;1;0
;1;90072-2023;2,1;2023-01-18;1;3
;1;10569-2023;1;2023-01-18;1;1
;1;10515-2023;0,6;2023-01-18;1;0
;1;10560-2023;0,4;2023-01-18;1;1
;1;10376-2023;1,1;2023-01-18;1;2
;1;10588-2023;8,3;2023-01-18;1;11
;1;10482-2023;1,4;2023-01-18;1;7
;1;10566-2023;5;2023-01-18;1;0
;1;10514-2023;0,9;2023-01-18;1;1
;1;10518-2023;0,3;2023-01-18;1;1
;1;90047-2023;0,1;2023-01-18;1;0
;1;90077-2023;9,7;2023-01-20;1;11
;1;10527-2023;2;2023-01-20;1;2
;1;10535-2023;2;2023-01-20;1;2
;1;10577-2023;2,5;2023-01-20;1;2
;1;90141-2023;1;2023-01-23;1;1
;1;90103-2023;4,4;2023-01-23;1;4
;1;10654-2023;1,1;2023-01-23;1;1
;1;10618-2023;0,6;2023-01-23;1;1
;1;10641-2023;0,5;2023-01-23;1;1
;1;10401-2023;5,1;2023-01-23;1;5
;1;10165-2023;2,1;2023-01-23;1;2
;1;10653-2023;0,6;2023-01-23;1;1
