;1;90011-2023;5;10;2023-01-06
;1;90016-2023;5;1;2023-01-06
;1;31378-2023;25;1;2023-01-06
;1;10017-2023;25;3;2023-01-06
;1;10018-2023;25;3;2023-01-06
;1;10067-2023;10;2;2023-01-09
;1;90027-2023;16;13;2023-01-09
;1;90041-2023;15;13;2023-01-09
;1;90025-2023;13;8;2023-01-09
;1;10253-2023;16;3;2023-01-09
;1;10187-2023;10;2;2023-01-09
;1;10270-2023;15;6;2023-01-10
;1;10145-2023;15;8;2023-01-10
;1;10220-2023;15;5;2023-01-10
;1;10296-2023;9;1;2023-01-10
;1;10179-2023;9;5;2023-01-10
;1;10177-2023;9;2;2023-01-10
;1;10163-2023;14;3;2023-01-10
;1;90026-2023;9;7;2023-01-10
;1;10277-2023;16;5;2023-01-10
;1;90031-2023;13;7;2023-01-10
;1;90042-2023;16;9;2023-01-10
;1;90030-2023;16;13;2023-01-11
;1;10338-2023;16;4;2023-01-11
;1;10230-2023;15;6;2023-01-11
;1;10335-2023;16;1;2023-01-11
;1;10336-2023;10;1;2023-01-11
;1;10166-2023;13;10;2023-01-11
;1;10211-2023;23;3;2023-01-11
;1;10124-2023;16;3;2023-01-11
;1;10266-2023;10;3;2023-01-11
;1;10233-2023;14;6;2023-01-11
;1;10032-2023;16;5;2023-01-11
;1;10223-2023;10;1;2023-01-11
;1;10132-2023;10;2;2023-01-11
;1;90028-2023;15;17;2023-01-11
;1;10111-2023;10;1;2023-01-11
;1;10349-2023;10;2;2023-01-11
;1;10370-2023;19;9;2023-01-16
;1;10400-2023;5;3;2023-01-16
;1;10447-2023;20;3;2023-01-16
;1;90060-2023;20;11;2023-01-16
;1;90064-2023;17;6;2023-01-16
;1;10425-2023;25;4;2023-01-17
;1;10542-2023;3;5;2023-01-17
;1;90075-2023;17;2;2023-01-17
;1;10519-2023;12;4;2023-01-17
;1;10520-2023;12;4;2023-01-17
;1;90072-2023;20;11;2023-01-17
;1;10569-2023;5;1;2023-01-17
;1;10515-2023;25;6;2023-01-17
;1;10560-2023;25;3;2023-01-17
;1;10588-2023;25;6;2023-01-17
;1;10482-2023;17;8;2023-01-17
;1;10566-2023;17;5;2023-01-17
;1;10514-2023;5;2;2023-01-17
;1;10518-2023;5;1;2023-01-17
;1;90077-2023;17;11;2023-01-19
;1;10527-2023;3;4;2023-01-19
;1;10535-2023;3;5;2023-01-19
;1;10577-2023;25;11;2023-01-19
;1;90141-2023;25;5;2023-01-20
;1;90103-2023;5;2;2023-01-20
;1;10654-2023;5;1;2023-01-20
;1;10618-2023;17;3;2023-01-20
;1;10641-2023;3;6;2023-01-20
;1;10165-2023;20;3;2023-01-20
;1;10653-2023;5;1;2023-01-20
;1;10621-2023;12;4;2023-01-20
;1;10684-2023;19;6;2023-01-20
;1;90147-2023;5;2;2023-01-20
;1;90140-2023;23;7;2023-01-25
;1;10864-2023;14;1;2023-01-25
;1;10373-2023;10;3;2023-01-25
;1;10706-2023;14;5;2023-01-25
;1;10783-2023;9;3;2023-01-25
;1;90130-2023;16;10;2023-01-25
;1;10738-2023;14;1;2023-01-25
;1;10846-2023;10;1;2023-01-25
;1;10802-2023;10;1;2023-01-25
;1;10801-2023;23;5;2023-01-25
;1;10489-2023;9;3;2023-01-25
;1;90187-2023;22;9;2023-01-27
;1;10987-2023;15;4;2023-01-27
;1;10988-2023;22;5;2023-01-27
;1;10927-2023;22;3;2023-01-27
;1;90190-2023;23;1;2023-01-27
;1;10847-2023;23;5;2023-01-27
;1;10721-2023;17;5;2023-01-30
;1;10851-2023;4;4;2023-01-30
;1;10935-2023;3;5;2023-01-30
;1;10872-2023;19;6;2023-01-30
;1;11037-2023;19;4;2023-01-30
;1;10889-2023;25;7;2023-01-30
;1;10885-2023;5;1;2023-01-30
;1;10993-2023;25;5;2023-01-30
;1;11006-2023;3;1;2023-01-30
;1;10780-2023;19;1;2023-01-30
;1;10887-2023;3;6;2023-01-30
;1;10827-2023;4;2;2023-01-30
;1;10826-2023;4;4;2023-01-30
;1;10837-2023;4;1;2023-01-30
;1;10952-2023;25;2;2023-01-30
;1;10434-2023;4;6;2023-01-30
;1;11068-2023;3;1;2023-01-30
;1;90149-2023;4;7;2023-02-02
;1;11154-2023;3;3;2023-02-02
;1;11136-2023;3;2;2023-02-02
;1;90275-2023;25;17;2023-02-02
;1;11160-2023;25;1;2023-02-02
;1;11066-2023;17;10;2023-02-02
;1;11197-2023;17;2;2023-02-02
;1;90321-2023;4;2;2023-02-02
;1;10945-2023;3;1;2023-02-03
;1;90298-2023;17;13;2023-02-03
;1;11232-2023;20;2;2023-02-03
;1;11177-2023;25;1;2023-02-03
;1;11212-2023;19;3;2023-02-03
;1;11208-2023;17;5;2023-02-03
;1;11185-2023;25;3;2023-02-03
;1;11090-2023;4;5;2023-02-03
;1;10687-2023;19;4;2023-02-03
;1;11200-2023;19;9;2023-02-03
;1;10923-2023;3;6;2023-02-03
;1;90295-2023;25;8;2023-02-03
;1;11233-2023;4;5;2023-02-03
;1;11119-2023;20;2;2023-02-03
;1;10168-2023;25;2;2023-02-03
;1;90371-2023;17;2;2023-02-03
;1;90368-2023;17;4;2023-02-03
;1;90410-2023;15;12;2023-02-08
;1;11353-2023;6;11;2023-02-08
;1;11392-2023;10;4;2023-02-08
;1;11368-2023;15;5;2023-02-08
;1;90391-2023;14;8;2023-02-08
;1;90393-2023;6;8;2023-02-09
;1;90431-2023;14;7;2023-02-09
;1;11393-2023;14;9;2023-02-09
;1;11422-2023;16;4;2023-02-09
;1;11385-2023;22;7;2023-02-09
;1;11396-2023;6;2;2023-02-10
;1;90423-2023;23;17;2023-02-10
;1;90428-2023;23;7;2023-02-10
;1;11380-2023;10;1;2023-02-10
;1;11401-2023;6;9;2023-02-10
;1;11183-2023;14;2;2023-02-10
;1;11423-2023;10;5;2023-02-10
;1;11394-2023;16;2;2023-02-10
;1;11453-2023;22;7;2023-02-10
;1;11413-2023;23;6;2023-02-10
;1;90400-2023;22;6;2023-02-10
;1;11459-2023;10;2;2023-02-10
;1;11176-2023;15;5;2023-02-10
;1;11470-2023;10;3;2023-02-10
;1;11403-2023;10;1;2023-02-10
;1;11363-2023;6;2;2023-02-10
;1;11342-2023;6;7;2023-02-10
;1;11446-2023;22;2;2023-02-10
;1;90416-2023;23;3;2023-02-10
;1;90486-2023;17;7;2023-02-15
;1;11560-2023;12;2;2023-02-15
;1;11622-2023;20;2;2023-02-15
;1;11438-2023;20;9;2023-02-15
;1;11615-2023;3;1;2023-02-15
;1;11540-2023;4;5;2023-02-15
;1;11552-2023;3;2;2023-02-15
;1;11648-2023;3;1;2023-02-15
;1;11608-2023;3;2;2023-02-15
;1;11641-2023;17;2;2023-02-15
;1;11575-2023;19;4;2023-02-15
;1;11596-2023;25;1;2023-02-15
;1;90434-2023;4;12;2023-02-17
;1;90534-2023;4;15;2023-02-17
;1;11662-2023;25;7;2023-02-17
;1;11389-2023;25;9;2023-02-17
;1;90498-2023;12;3;2023-02-17
;1;11755-2023;5;1;2023-02-17
;1;11473-2023;3;10;2023-02-17
;1;11733-2023;5;1;2023-02-17
;1;90497-2023;19;6;2023-02-17
;1;90512-2023;17;12;2023-02-17
;1;11371-2023;25;2;2023-02-17
;1;11649-2023;17;7;2023-02-17
;1;90495-2023;4;4;2023-02-17
;1;90509-2023;15;5;2023-02-20
;1;11561-2023;9;9;2023-02-20
;1;11742-2023;9;2;2023-02-20
;1;11337-2023;9;6;2023-02-20
;1;11338-2023;9;7;2023-02-20
;1;11335-2023;9;5;2023-02-20
;1;11816-2023;9;3;2023-02-20
;1;90520-2023;6;7;2023-02-20
;1;90518-2023;16;7;2023-02-20
;1;11738-2023;15;3;2023-02-20
;1;90535-2023;15;11;2023-02-20
;1;90499-2023;13;6;2023-02-20
;1;11775-2023;15;1;2023-02-20
;1;11404-2023;9;2;2023-02-21
;1;11627-2023;14;10;2023-02-21
;1;11718-2023;6;4;2023-02-21
;1;11832-2023;6;2;2023-02-21
;1;90525-2023;13;3;2023-02-21
;1;11828-2023;15;2;2023-02-21
;1;11824-2023;22;2;2023-02-21
;1;11677-2023;9;3;2023-02-21
;1;11746-2023;6;1;2023-02-21
;1;90539-2023;10;5;2023-02-22
;1;11903-2023;15;3;2023-02-22
;1;90544-2023;13;12;2023-02-22
;1;11888-2023;15;1;2023-02-22
;1;11920-2023;15;4;2023-02-22
;1;11801-2023;15;6;2023-02-22
;1;11865-2023;22;6;2023-02-22
;1;90557-2023;10;1;2023-02-22
;1;90561-2023;14;13;2023-02-23
;1;11779-2023;22;2;2023-02-23
;1;11924-2023;13;3;2023-02-23
;1;12011-2023;14;1;2023-02-24
;1;11998-2023;15;2;2023-02-24
;1;12004-2023;23;1;2023-02-24
;1;12006-2023;13;1;2023-02-24
;1;11760-2023;23;2;2023-02-24
